inputName,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,class,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym
Paxillus atrotomentosus (Batsch: Fr.) Fr.,5244305.0,Paxillus atrotomentosus (Batsch) Fr.,Paxillus atrotomentosus,SPECIES,SYNONYM,100.0,EXACT,Fungi,Basidiomycota,Agaricomycetes,Boletales,Tapinellaceae,Tapinella,Tapinella atrotomentosa,5.0,34.0,186.0,1063.0,4187.0,2525650.0,7693097.0,
Pecteilis henryi Schlechter,2819188.0,Pecteilis henryi Schltr.,Pecteilis henryi,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pecteilis,Pecteilis henryi,6.0,7707728.0,196.0,1169.0,7689.0,2819167.0,2819188.0,
Pecteilis susannae (L.) Raf.,2819176.0,Pecteilis susannae (L.) Raf.,Pecteilis susannae,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pecteilis,Pecteilis susannae,6.0,7707728.0,196.0,1169.0,7689.0,2819167.0,2819176.0,
Pedilanthus tithymaloides (L.) Poit.,3069185.0,Pedilanthus tithymaloides (L.) Poit.,Pedilanthus tithymaloides,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia tithymaloides,6.0,7707728.0,220.0,1414.0,4691.0,11397237.0,3069168.0,
Pedilanthus tithymaloides (L.) Poit. var. variegatus Hort,3069185.0,Pedilanthus tithymaloides (L.) Poit.,Pedilanthus tithymaloides,SPECIES,SYNONYM,98.0,HIGHERRANK,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia tithymaloides,6.0,7707728.0,220.0,1414.0,4691.0,11397237.0,3069168.0,
Pegia sarmentosa (Lecomte) Hand.-Mazz.,3662411.0,Pegia sarmentosa (Lecomte) Hand.-Mazz.,Pegia sarmentosa,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Pegia,Pegia sarmentosa,6.0,7707728.0,220.0,933.0,2398.0,7321898.0,3662411.0,
Pelargonium zonale L'Hér.,9609002.0,Pelargonium zonale (L.) L'Hér.,Pelargonium zonale,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Pelargonium,Pelargonium zonale,6.0,7707728.0,220.0,624.0,4676.0,9348640.0,9609002.0,
Peliosanthes humilis Andr.,2774101.0,Peliosanthes humilis Andrews,Peliosanthes humilis,SPECIES,SYNONYM,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Peliosanthes,Peliosanthes teta,6.0,7707728.0,196.0,1169.0,7683.0,9259041.0,2774071.0,
Peliosanthes sinica F.T. Wang & Tang,2774068.0,Peliosanthes sinica F.T.Wang & Tang,Peliosanthes sinica,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Peliosanthes,Peliosanthes sinica,6.0,7707728.0,196.0,1169.0,7683.0,9259041.0,2774068.0,
Peliosanthes teta Andr.,2774071.0,Peliosanthes teta Andrews,Peliosanthes teta,SPECIES,ACCEPTED,100.0,EXACT,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Peliosanthes,Peliosanthes teta,6.0,7707728.0,196.0,1169.0,7683.0,9259041.0,2774071.0,
