kingdom,kingdomKey,speciesKey,image_count
Plantae,6,3055347,31
Plantae,6,4930679,101
Plantae,6,2865100,101
Plantae,6,3169836,99
Plantae,6,3169838,68
Plantae,6,2856558,12
Plantae,6,2857697,100
Plantae,6,2856504,66
Plantae,6,2857449,100
Plantae,6,2856037,101
Plantae,6,2856681,105
Plantae,6,2855860,101
Plantae,6,9364157,58
Plantae,6,2876187,11
Plantae,6,5329978,10
Plantae,6,5329904,98
Plantae,6,2777724,91
Plantae,6,5302271,29
Plantae,6,2874569,100
Plantae,6,7393329,101
Plantae,6,2874508,101
Plantae,6,2948930,15
Plantae,6,5284275,22
Plantae,6,5284278,100
Plantae,6,2683955,6
Plantae,6,2853024,86
Plantae,6,2757544,17
Plantae,6,2757637,11
Plantae,6,2757624,99
Plantae,6,2757547,1
Plantae,6,2757545,35
Plantae,6,3610749,21
Plantae,6,2927548,77
Plantae,6,2927545,2
Plantae,6,2946183,7
Plantae,6,5303388,38
Plantae,6,8544796,65
Plantae,6,5303371,30
Plantae,6,5303311,23
Plantae,6,5529644,97
Plantae,6,3142265,24
Plantae,6,8303480,7
Plantae,6,5384314,72
Plantae,6,2683264,46
Plantae,6,2683234,6
Plantae,6,2683250,14
Plantae,6,2683217,98
Plantae,6,2683272,20
Plantae,6,2683286,10
Plantae,6,3830078,5
Plantae,6,3829915,2
Plantae,6,7708168,96
Plantae,6,5305656,37
Plantae,6,5305481,22
Plantae,6,5305706,14
Plantae,6,5305704,6
Plantae,6,5305513,27
Plantae,6,5305617,3
Plantae,6,4151099,30
Plantae,6,2705275,101
Plantae,6,2705267,9
Plantae,6,4139011,9
Plantae,6,4138713,5
Plantae,6,4137812,49
Plantae,6,7312698,4
Plantae,6,8154670,2
Plantae,6,3112361,71
Plantae,6,6109637,101
Plantae,6,4064484,10
Plantae,6,2966890,42
Plantae,6,2713638,103
Plantae,6,2713479,100
Plantae,6,2713778,1
Plantae,6,2716516,10
Plantae,6,2714796,98
Plantae,6,2713932,5
Plantae,6,2716226,100
Plantae,6,2714156,100
Plantae,6,2715828,100
Plantae,6,2715729,96
Plantae,6,8243603,101
Plantae,6,2715148,12
Plantae,6,2714056,98
Plantae,6,2713473,23
Plantae,6,2715089,37
Plantae,6,2714818,100
Plantae,6,2714571,3
Plantae,6,2930216,98
Plantae,6,2650828,44
Plantae,6,2650829,101
Plantae,6,2650827,100
Plantae,6,4038867,1
Plantae,6,4047324,8
Plantae,6,5308441,10
Plantae,6,5308446,27
Plantae,6,2871919,6
Plantae,6,7300685,5
Plantae,6,2949868,76
Plantae,6,2950187,5
Plantae,6,2949769,100
Plantae,6,2912772,43
Plantae,6,9705079,75
Plantae,6,7874167,10
Plantae,6,7173530,40
Plantae,6,2814845,3
Plantae,6,5334186,100
Plantae,6,5568446,99
Plantae,6,3083862,100
Plantae,6,7551162,101
Plantae,6,7275851,64
Plantae,6,7685885,34
Plantae,6,3823358,2
Plantae,6,7469977,3
Plantae,6,3750517,20
Plantae,6,5289612,91
Plantae,6,5289624,100
Plantae,6,2774721,8
