id,commonNames,scientificNameWithoutAuthor,scientificNameAuthorship,gbifId,powoId,iucnCategory
1447612,"Hainan Jatropha, Dragon Horn, Black Shell, Dafengzi Oil",Hydnocarpus hainanensis,(Merr.) Sleumer,3878156,365623-1,VU
1720048,,Hydnocarpus ilicifolius,King,3878122,111748-1,LC
1428887,Ant plant,Hydnophytum formicarum,Jack,2895700,753446-1,
1777332,,Hydrangea ampla,(Chun) Y.De Smet & Granados,8576864,77152136-1,
1776257,Japanese Climbing-hydrangea,Hydrangea anomala,D.Don,7318939,791541-1,
1776258,Rough-leaf hydrangea,Hydrangea aspera,Buch.-Ham. ex D.Don,3645663,791547-1,LC
1554953,,Hydrangea chinensis,Maxim.,7319010,791560-1,
1720139,,Hydrangea febrifuga,(Lour.) Y.De Smet & Granados,8682693,77152127-1,
1776259,,Hydrangea heteromalla,D.Don,3645102,791600-1,LC
1361819,"Hydrangea, Hortensia, Bigleaf Hydrangea, Lacecap hydrangea, Mountain Hydrangea, Chinese sweetleaf, French hydrangea, Lace Cap Hydrangea, ادریسی, Tea of Heaven, Russian sage, Cẩm Tú Cầu (Vietnam), Mop head hydrangea, Hortenzija, Christmas flower, Hydrangea macrophylla var. serrata, Siti Zubaidah, Mophead hydrangea, Annabelle Hydrangea, Southern Pink",Hydrangea macrophylla,(Thunb.) Ser.,2985994,791637-1,
1776262,,Hydrangea robusta,Hook.f. & Thomson,3645777,791671-1,LC
1777329,,Hydrangea schizomollis,Y.De Smet & Granados,8512964,77152143-1,
1721742,,Hydrangea viburnoides,(Hook.f. & Thomson) Y.De Smet & Granados,8592945,77152135-1,
1554991,,Hydrangea xanthoneura,Diels,3645098,791714-1,LC
1389733,"Florida elodea, Hydrilla, Waterthyme, Indian Stargrass, Esthwaite waterweed, Perfect aquatic weed",Hydrilla verticillata,(L.f.) Royle,5329570,114224-3,LC
1428888,Marsh henna,Hydrocera triflora,(L.) Wight & Arn.,5687094,373938-1,LC
1384659,"Lawn marshpennywort, Creeping Charlie, Lawn pennywort, Lawn water pennywort, Lawn Marsh-Pennywort, Sumanggi gunung, Takè cèna, Shiny pennywort, Lawn water pennyword, Marsh Pennywort, Thankuni (Bangla), Dhaniya, সৰু মানিমুনি",Hydrocotyle sibthorpioides,Lam.,8418338,843698-1,LC
1364266,,Hydrolea zeylanica,(L.) Vahl,3612749,432249-1,LC
1674271,,Hydrophylax maritima,L.f.,5339552,753519-1,
1385539,"Hygrophila, Long leaved barleria, Marsh Barbel, Mokharaa (cg)",Hygrophila auriculata,(Schumach.) Heine,5415352,49646-1,LC
1433079,"Starhorn, Stiff beargrass, Temple plant, Giant hygro",Hygrophila corymbosa,(Blume) Lindau,5415353,49671-1,
1783934,Water-wisteria,Hygrophila difformis,(L.f.) Blume,7549085,49676-1,LC
1418524,"East Indian swampweed, Indian swampweed, Miramar-weed, Hygrophila, Dwarf Hygrophila, Indian hygrophila, East Indian hygrophila, Green hygro",Hygrophila polysperma,(Roxb.) T.Anderson,5415355,49756-1,LC
1719973,Erect hygrophila,Hygrophila ringens,(L.) R.Br. ex Spreng.,5575224,60454721-2,
1428892,"Bengal wild rice, Asian watergrass, Awned water rice, Asian water grass",Hygroryza aristata,(Retz.) Nees ex Wight & Arn.,4147943,405424-1,
1578717,South Eastern Asian tick clover,Hylodesmum laxum,(DC.) H.Ohashi & R.R.Mill,2971248,1014613-1,
1578725,Common tick clover,Hylodesmum podocarpum,(DC.) H.Ohashi & R.R.Mill,2971272,1014622-1,
1578726,Chinese wavy-leaf desmodium,Hylodesmum repandum,(Vahl) H.Ohashi & R.R.Mill,2971234,1014628-1,
1403033,"Olive hymenachne, West Indian marsh grass, Hymenachne",Hymenachne amplexicaulis,(Rudge) Nees,2705781,405429-1,
1720486,,Hymenasplenium excisum,(C.Presl) S.Linds.,8415232,60453405-2,
1729771,,Hymenasplenium obscurum,(Blume) Tagawa,4257985,17398780-1,
1706295,Beard filmy fern,Hymenophyllum barbatum,(Bosch) Baker,8222617,17121800-1,
1409048,,Hymenophyllum digitatum,(Sw.) Fosberg,3607448,17557440-1,
1417068,,Hymenophyllum holochilum,(Bosch) C.Chr.,8235099,17123340-1,
1426317,,Hymenophyllum javanicum,Spreng.,3608672,17123540-1,
1416977,,Hymenophyllum pallidum,(Blume) Ebihara & K.Iwats.,3607415,60447928-2,
1720670,,Hymenophyllum tenellum,D.Don,8112107,17125520-1,
1360555,"بنگ دانه, Common henbane, Henbane, Black henbane, Stinking-nightshade, Hog's-bean, Cassilago, بات بات",Hyoscyamus niger,L.,2928978,815932-1,
1364659,,Hyparrhenia bracteata,(Humb. & Bonpl. ex Willd.) Stapf,4147410,126065-2,
1651936,,Hyparrhenia diplandra,(Hack.) Stapf,4147250,405503-1,
1364656,,Hyparrhenia familiaris,(Steud.) Stapf,4109902,405516-1,
1431811,"Tambookie grass, Fine thatching grass, Hairy-bluegrass, Fine hoodgrass, Fine thatchinggrass",Hyparrhenia filipendula,(Hochst.) Stapf,2703245,405519-1,
