Tên khoa học,Tên tiếng Việt,Phân bố,File,Tên đồng nghĩa,Họ,Họ thực vật,speciesKey
Macrosolen bibracteolatus (Hance) Dans. – Loranthus bibrac-teolatus Hance,Đại cán hai lá bắc,"Lào Cai (Sa Pa), Lạng Sơn (Khao Sơn), Quảng Bình, Quảng Trị, Thừa Thiên Huế, Lâm Đồng (Đà Lạt). Cây mọc tự nhiên bán ký sinh, ở độ cao 700 m trở lên.",macrosolen-bibracteolatus-hance-dans.txt,,,Họ Chùm gửi (Loranthaceae),5639173
Magnolia odora (Chun) Figlar & Noot. – Tsoongiodendron odorum Chun,Giổi lụa,"Yên Bái, Lạng Sơn, Quảng Ninh, Hà Tĩnh. Cây mọc tự nhiên rải rác trong rừng, ở độ cao 300-1.000 m. Loài hiếm có nguy cơ bị tuyệt chủng, đã đưa vào Sách Đỏ Việt Nam",tsoongiodendron-odorum-chun.txt,,,Magnoliaceae,3153128
Machilus salicina Hance,"Thủy hoàng tục, Dè nước, Rè mốc","Quảng Nam, Đà Nẵng, Quảng Bình, Quảng Trị, Thừa Thiên Huế. Cây mọc tự nhiên trong rừng vùng núi đất, ở độ cao 300-500 m",machilus-salicina-hance.txt,,,Lauraceae,4178023
Ficus simplicissima Lour,"Vú chó, Ưng xá, Vú bò, Ngải phún",Cây mọc tự nhiên ở rừng thứ sinh khá phổ biến ở Việt Nam,ficus-simplicissima-lour.txt,,,Moraceae,5570563
Chamaecrista absus (L.) Irwin & Barneby; Cassia absus L,Muồng trĩn,"Gia Lai. Cây mọc tự nhiên rải rác ở bãi đất trống ven rừng, ở độ cao tới 900 m",chamaecrista-absus-l-irwin-cassia-absus-l.txt,,,Caesalpiniaceae,2949868
Albizia lebbekoides (DC.) Benth. – Acacia lebbekoides DC,Câm trắng,"Hà Nội, Gia Lai, Ninh Thuận, Bà Rịa Vũng Tàu, thành phố Hồ Chí Minh. Cây mọc tự nhiên ở rừng rụng lá, ở độ cao tới 400 m.",albizia-lebbekoides-dc-benth.txt,,,Mimosaceae,2973099
Dasymaschalon macrocalyx Fin. et Gagnep. – D. trichophorum Merr. Họ Na (Annonaceae),"Dất mèo, Dây vú trâu, Mao quả đài to","Lạng Sơn, Thái Nguyên, Vĩnh Phúc, Nghệ An, Hà Tĩnh, Khánh Hoà, Ninh Thuận, Đồng Nai. Cây mọc tự nhiên rải rác trong rừng nguyên sinh, ở độ cao dưới 300 m",dasymaschalon-macrocalyx-fin-et-gagnep.txt,,,,3155198
Cyathea gigantea (Wall. ex Hook.) Holtt. – Alsophila gigantea Wall. ex Hook,Ráng lớn,"Cao Bằng, Lạng Sơn, Lao Cai, Sơn La, Quảng Trị, Thừa Thiên Huế, Đà Nẵng, Kon Tum, Lâm Đồng. Cây mọc tự nhiên trong rừng rậm thường xanh.",cyathea-gigantea-wall-ex-hook-holtt.txt,,,Cyatheaceae,5530129
Streblus tonkinensis (Dub. et Eberh.) Corn. – Bleekrodea tonkinensis Dub. et Eberh,"Ông rô, Teo noong, Duối ông rô",Cây mọc tự nhiên. Loài đặc hữu của Bắc và Trung Bộ Việt Nam,streblus-tonkinensis-dub-et-eberh-corn.txt,,,Moraceae,3763799
Microsorum buergerianum (Miq.) Ching,"Ráng thạch, Ổ sao vảy ngắn","Lào Cai, Vĩnh Phú, Hà Tây. Cây mọc tự nhiên, mọc bám vào cây gỗ vùng rừng núi.",microsorum-buergerianum-miq-ching.txt,,,Polypodiaceae,11131846
Craibiodendron stellatum (Pierre) W.W.Sm,Cáp mộc sao,"Lâm Đồng (Đà Lạt), Kon Tum. Cây mọc tự nhiên ở vùng núi",craibiodendron-stellatum-pierre-ex-laness-w-w-smith.txt,,Đỗ quyên (Ericaceae),,4174895
Ziziphus sativa Mill,"Đại táo, Táo tàu, Táo đen",Lao Cai. Cây nhập trồng,ziziphus-sativa-mill.txt,,,Họ Táo (Rhamnaceae),3039423
Miscanthus sinensis Anders,Cỏ chè vè,Miền Bắc – Miền Trung. Cây mọc tự nhiên,miscanthus-sinensis-anders.txt,,,Poaceae,2706026
Citrus aurantium L,"Cam chua, Toan đăng",Cây trồng,citrus-aurantium-l.txt,,,Rutaceae,8077391
Clematis brevicaudata DC,Ông lão đuôi ngắn,Lào Cai (Sa Pa).,clematis-brevicaudata-dc.txt,,Mao lương – Ranunculaceae,,7277064
